Nivel,Largo_Patron,Aciertos,Errores,Tiempo_Reaccion,Racha,Accion_ML
2,3,0,3,2.21,1,BAJAR
5,5,4,1,4.73,2,MANTENER
1,4,4,0,2.28,0,SUBIR
2,3,1,2,2.6,-1,BAJAR
3,3,3,0,3.49,2,MANTENER
2,3,2,1,2.33,2,MANTENER
4,3,3,0,4.07,2,MANTENER
4,3,3,0,3.47,-2,MANTENER
3,5,0,5,3.93,1,BAJAR
3,4,4,0,3.86,-3,BAJAR
3,3,3,0,3.77,2,MANTENER
5,2,1,1,4.28,-3,BAJAR
1,5,0,5,2.78,-3,BAJAR
2,2,1,1,2.1,2,MANTENER
5,2,1,1,4.32,0,MANTENER
2,2,1,1,3.25,-2,MANTENER
3,4,1,3,4.12,-1,BAJAR
3,3,0,3,2.87,1,BAJAR
2,4,0,4,3.48,1,BAJAR
2,5,1,4,3.66,-2,BAJAR
5,4,1,3,4.34,-2,BAJAR
4,4,4,0,4.19,3,SUBIR
2,4,4,0,3.76,2,MANTENER
2,2,2,0,2.26,-3,BAJAR
1,5,1,4,3.29,1,MANTENER
1,2,2,0,2.99,-3,BAJAR
2,2,1,1,2.26,1,MANTENER
1,3,1,2,2.42,0,MANTENER
3,4,4,0,3.91,-1,MANTENER
2,2,2,0,2.49,2,MANTENER
3,2,0,2,2.56,3,SUBIR
5,3,1,2,3.67,-1,BAJAR
1,2,0,2,1.54,0,MANTENER
1,4,3,1,2.77,0,MANTENER
5,5,5,0,5.3,2,MANTENER
3,2,1,1,3.34,3,SUBIR
2,4,1,3,3.81,0,BAJAR
4,5,4,1,4.71,-1,MANTENER
5,4,4,0,4.33,1,MANTENER
2,4,4,0,3.97,-1,MANTENER
2,5,5,0,3.91,-2,SUBIR
4,4,0,4,4.28,3,SUBIR
4,5,4,1,4.89,0,MANTENER
5,2,0,2,4.32,1,BAJAR
3,2,1,1,3.48,0,MANTENER
3,2,2,0,2.43,3,SUBIR
4,2,1,1,3.22,1,MANTENER
4,3,0,3,3.55,-1,BAJAR
3,2,0,2,3.02,3,SUBIR
1,2,2,0,1.91,-1,MANTENER
2,5,5,0,2.94,-2,SUBIR
5,4,4,0,3.79,0,MANTENER
5,3,3,0,4.75,2,MANTENER
5,4,2,2,4.8,-1,MANTENER
4,5,2,3,3.77,-1,BAJAR
3,2,0,2,3.56,-3,BAJAR
4,2,1,1,2.94,2,MANTENER
4,5,0,5,4.26,-1,BAJAR
4,3,0,3,4.17,2,BAJAR
3,4,0,4,4.23,2,BAJAR
4,5,3,2,3.96,-3,BAJAR
1,5,1,4,2.62,2,MANTENER
4,3,2,1,3.55,0,MANTENER
5,4,3,1,4.73,3,SUBIR
1,5,2,3,2.57,-2,MANTENER
1,4,3,1,3.01,-1,MANTENER
2,4,3,1,3.1,-2,MANTENER
4,5,5,0,3.88,-1,SUBIR
5,3,0,3,4.66,0,BAJAR
5,5,3,2,4.38,-1,MANTENER
5,2,0,2,4.52,2,BAJAR
1,3,3,0,3.07,3,SUBIR
4,3,1,2,3.12,-1,BAJAR
5,5,3,2,5.32,1,MANTENER
5,5,5,0,4.12,0,MANTENER
1,3,3,0,3.21,-1,MANTENER
5,3,3,0,3.5,-1,MANTENER
5,2,1,1,3.33,0,MANTENER
4,2,0,2,3.83,-1,BAJAR
1,5,1,4,3.16,0,MANTENER
4,5,5,0,3.71,-1,SUBIR
1,3,3,0,2.37,-2,SUBIR
5,4,4,0,4.17,0,MANTENER
5,2,1,1,3.12,1,MANTENER
1,4,4,0,2.79,-2,SUBIR
5,5,2,3,4.75,1,BAJAR
2,2,1,1,3.07,-2,MANTENER
1,2,2,0,2.02,2,MANTENER
3,4,3,1,2.97,2,MANTENER
2,3,3,0,2.22,1,SUBIR
2,5,0,5,3.02,-1,BAJAR
1,5,1,4,3.03,-1,MANTENER
2,5,2,3,3.1,1,BAJAR
1,4,2,2,2.68,-2,MANTENER
4,3,3,0,3.74,-1,MANTENER
2,2,0,2,2.68,-1,BAJAR
1,5,4,1,3.82,-1,MANTENER
5,2,2,0,4.54,0,MANTENER
1,2,0,2,1.57,2,MANTENER
3,2,2,0,2.77,1,MANTENER
2,5,4,1,2.92,-1,MANTENER
5,2,0,2,4.47,2,BAJAR
4,4,0,4,3.62,-1,BAJAR
5,3,1,2,4.48,1,BAJAR
2,4,3,1,2.91,0,MANTENER
3,5,2,3,3.39,3,SUBIR
1,2,0,2,2.27,2,MANTENER
2,3,3,0,3.32,1,MANTENER
2,3,0,3,3.3,-1,BAJAR
4,2,2,0,3.96,-2,MANTENER
4,4,2,2,3.91,1,MANTENER
4,4,0,4,4.27,-3,BAJAR
2,2,2,0,2.03,3,SUBIR
1,4,4,0,2.82,1,SUBIR
3,5,5,0,3.76,-2,SUBIR
2,3,3,0,3.41,2,MANTENER
2,5,2,3,3.87,2,BAJAR
5,3,0,3,4.7,2,BAJAR
4,3,0,3,4.09,-1,BAJAR
5,4,3,1,4.24,-2,MANTENER
1,4,1,3,3.32,-3,BAJAR
4,2,1,1,3.11,2,MANTENER
5,4,0,4,5.04,1,BAJAR
4,2,1,1,2.72,-3,BAJAR
2,3,1,2,3.33,1,BAJAR
2,5,1,4,4.28,1,BAJAR
1,4,3,1,2.68,3,SUBIR
1,4,1,3,2.58,-3,BAJAR
5,5,5,0,4.38,-3,BAJAR
2,4,4,0,2.65,-1,SUBIR
