Nivel,Largo_Patron,Aciertos,Errores,Accuracy,Tiempo_por_Acierto,Racha,Accion
5,5,4,1,0.8,3.32,-1,MANTENER
4,5,4,1,0.8,3.92,-2,MANTENER
1,2,2,0,1.0,1.28,-1,MANTENER
3,4,2,2,0.5,6.43,-2,BAJAR
1,2,2,0,1.0,1.72,-1,MANTENER
2,3,2,1,0.67,5.11,-2,MANTENER
3,4,3,1,0.75,3.12,-3,MANTENER
2,3,2,1,0.67,5.16,-4,MANTENER
3,4,4,0,1.0,1.99,-3,MANTENER
5,5,4,1,0.8,2.69,-4,MANTENER
4,5,5,0,1.0,1.6,-3,MANTENER
1,2,1,1,0.5,5.49,-4,BAJAR
5,5,5,0,1.0,1.98,-3,MANTENER
3,4,3,1,0.75,4.21,-4,MANTENER
5,5,5,0,1.0,1.19,-3,MANTENER
2,3,2,1,0.67,4.62,-4,MANTENER
5,5,4,1,0.8,2.9,-5,MANTENER
5,5,4,1,0.8,3.93,-5,MANTENER
2,3,2,1,0.67,5.17,-5,MANTENER
1,2,2,0,1.0,1.48,-4,MANTENER
1,2,1,1,0.5,4.42,-5,BAJAR
3,4,4,0,1.0,1.29,-4,MANTENER
1,2,2,0,1.0,1.36,-3,MANTENER
4,5,4,1,0.8,3.16,-4,MANTENER
5,5,3,2,0.6,3.74,-5,MANTENER
2,3,3,0,1.0,1.26,-4,MANTENER
5,5,5,0,1.0,1.97,-3,MANTENER
3,4,4,0,1.0,1.38,-2,MANTENER
2,3,2,1,0.67,4.9,-3,MANTENER
2,3,3,0,1.0,1.62,-2,MANTENER
5,5,4,1,0.8,2.6,-3,MANTENER
3,4,2,2,0.5,4.03,-4,BAJAR
3,4,3,1,0.75,3.7,-5,MANTENER
1,2,2,0,1.0,1.38,-4,MANTENER
4,5,4,1,0.8,4.23,-5,MANTENER
5,5,4,1,0.8,3.31,-5,MANTENER
2,3,2,1,0.67,4.59,-5,MANTENER
4,5,5,0,1.0,1.49,-4,MANTENER
4,5,5,0,1.0,1.94,-3,MANTENER
3,4,4,0,1.0,1.58,-2,MANTENER
2,3,3,0,1.0,1.91,-1,MANTENER
5,5,3,2,0.6,3.62,-2,MANTENER
2,3,3,0,1.0,1.99,-1,MANTENER
1,2,1,1,0.5,4.24,-2,BAJAR
1,2,1,1,0.5,5.58,-3,BAJAR
3,4,2,2,0.5,6.34,-4,BAJAR
5,5,4,1,0.8,3.21,-5,MANTENER
1,2,1,1,0.5,5.74,-5,BAJAR
2,3,3,0,1.0,1.24,-4,MANTENER
3,4,3,1,0.75,3.7,-5,MANTENER
5,5,5,0,1.0,1.63,-4,MANTENER
4,5,5,0,1.0,1.68,-3,MANTENER
1,2,2,0,1.0,1.48,-2,MANTENER
2,3,2,1,0.67,4.22,-3,MANTENER
5,5,4,1,0.8,2.71,-4,MANTENER
1,2,2,0,1.0,1.19,-3,MANTENER
5,5,5,0,1.0,1.75,-2,MANTENER
2,3,2,1,0.67,3.51,-3,MANTENER
3,4,3,1,0.75,2.96,-4,MANTENER
5,5,3,2,0.6,5.1,-5,MANTENER
1,2,2,0,1.0,1.89,-4,MANTENER
3,4,3,1,0.75,3.69,-5,MANTENER
5,5,4,1,0.8,3.82,-5,MANTENER
4,5,5,0,1.0,1.95,-4,MANTENER
2,3,2,1,0.67,4.18,-5,MANTENER
2,3,2,1,0.67,2.96,-5,MANTENER
