Nivel,Accuracy,Tiempo_Promedio,Racha,Accion
5,1.0,1.05,1,MANTENER
1,1.0,2.13,3,MANTENER
2,1.0,1.32,-2,MANTENER
4,1.0,1.2,4,SUBIR
1,1.0,1.59,5,SUBIR
1,0.5,1.74,2,BAJAR
3,0.75,2.58,2,MANTENER
4,1.0,1.02,4,SUBIR
3,1.0,0.98,-3,MANTENER
2,1.0,1.07,-1,MANTENER
1,1.0,1.31,-2,MANTENER
5,1.0,1.36,3,MANTENER
1,0.0,1.82,2,BAJAR
2,0.67,2.88,-3,BAJAR
1,1.0,2.22,2,MANTENER
4,1.0,1.29,-2,MANTENER
2,0.67,2.43,3,MANTENER
1,1.0,0.88,2,SUBIR
5,1.0,0.8,0,MANTENER
4,0.8,1.62,4,MANTENER
3,0.75,2.32,-3,BAJAR
4,1.0,1.58,1,MANTENER
4,1.0,1.43,4,MANTENER
3,0.75,1.45,3,MANTENER
4,0.8,2.84,4,MANTENER
1,1.0,0.84,-3,MANTENER
2,1.0,0.95,2,MANTENER
2,1.0,1.22,5,SUBIR
3,1.0,1.48,0,MANTENER
5,1.0,0.85,-1,MANTENER
5,0.83,2.12,5,MANTENER
4,0.6,2.24,0,MANTENER
1,1.0,1.59,2,SUBIR
5,1.0,1.55,2,MANTENER
2,1.0,1.4,0,MANTENER
2,0.0,1.5,0,BAJAR
5,0.83,2.77,-3,BAJAR
5,0.67,2.11,1,MANTENER
1,1.0,1.07,5,SUBIR
2,1.0,1.26,5,SUBIR
4,1.0,1.6,-1,MANTENER
3,0.75,1.63,0,MANTENER
2,0.33,2.43,3,BAJAR
2,0.33,2.16,5,BAJAR
5,1.0,0.9,-3,MANTENER
4,0.8,2.73,2,MANTENER
4,1.0,1.37,1,MANTENER
3,1.0,0.84,4,SUBIR
3,0.75,1.83,-1,BAJAR
5,0.83,1.85,0,MANTENER
2,1.0,1.55,-1,MANTENER
1,1.0,0.99,3,SUBIR
1,0.0,1.9,1,BAJAR
3,1.0,2.46,2,MANTENER
1,1.0,1.17,-1,MANTENER
2,1.0,1.52,1,MANTENER
3,0.75,1.41,-1,BAJAR
2,0.67,2.31,-2,BAJAR
2,1.0,0.87,1,MANTENER
4,1.0,1.21,1,MANTENER
4,1.0,1.23,-1,MANTENER
4,0.8,2.79,4,MANTENER
3,0.75,2.34,-2,BAJAR
1,0.5,3.48,-2,BAJAR
4,0.8,3.86,-3,BAJAR
5,1.0,1.43,-2,MANTENER
4,0.8,2.92,4,MANTENER
5,1.0,0.89,4,SUBIR
1,0.0,1.76,2,BAJAR
4,0.8,2.14,-1,BAJAR
3,1.0,1.18,4,SUBIR
2,1.0,1.59,4,SUBIR
4,0.8,3.31,3,MANTENER
3,0.5,2.92,-1,BAJAR
4,0.8,1.55,4,MANTENER
5,1.0,1.57,4,MANTENER
1,1.0,1.01,3,SUBIR
4,1.0,1.53,-1,MANTENER
1,0.5,2.6,-2,BAJAR
1,1.0,0.94,4,SUBIR
3,1.0,0.97,-3,MANTENER
1,0.5,2.02,1,BAJAR
2,0.67,3.11,4,MANTENER
1,1.0,1.47,-3,MANTENER
3,0.75,2.48,0,MANTENER
1,1.0,1.57,3,SUBIR
3,1.0,1.36,2,MANTENER
3,1.0,1.49,-3,MANTENER
1,0.0,1.58,5,BAJAR
1,1.0,1.54,5,SUBIR
3,0.0,1.51,2,BAJAR
5,1.0,1.28,-2,MANTENER
5,0.67,1.81,2,MANTENER
5,0.83,2.74,2,MANTENER
5,1.0,1.13,-3,MANTENER
3,0.5,2.68,0,BAJAR
1,0.0,2.02,-2,BAJAR
5,1.0,1.18,-3,MANTENER
5,1.0,1.04,2,MANTENER
4,1.0,1.02,-2,MANTENER
3,1.0,1.06,1,MANTENER
1,1.0,0.84,1,MANTENER
2,1.0,1.24,-2,MANTENER
1,1.0,1.5,4,SUBIR
2,1.0,1.43,2,MANTENER
4,1.0,1.31,5,SUBIR
5,0.83,2.08,1,MANTENER
5,1.0,1.12,4,SUBIR
2,0.67,1.35,-3,BAJAR
2,1.0,1.43,1,MANTENER
3,1.0,1.1,0,MANTENER
4,0.8,1.67,1,MANTENER
5,1.0,0.81,5,SUBIR
3,1.0,0.9,5,SUBIR
3,0.75,2.11,3,MANTENER
1,1.0,1.28,-1,MANTENER
4,1.0,1.13,2,MANTENER
1,1.0,1.44,-1,MANTENER
4,1.0,1.12,1,MANTENER
2,0.0,1.49,3,BAJAR
2,0.67,2.6,3,MANTENER
1,1.0,0.96,-3,MANTENER
1,0.5,2.6,2,BAJAR
2,1.0,1.22,1,MANTENER
2,0.67,2.6,-3,BAJAR
1,1.0,1.56,3,SUBIR
2,0.67,2.36,-2,BAJAR
2,0.33,3.03,-2,BAJAR
4,1.0,1.52,0,MANTENER
4,0.8,2.34,2,MANTENER
5,0.83,1.99,0,MANTENER
1,1.0,1.59,0,MANTENER
1,1.0,1.35,4,SUBIR
4,0.6,1.87,-1,BAJAR
3,1.0,1.42,-1,MANTENER
5,1.0,0.87,5,SUBIR
1,0.5,3.57,0,BAJAR
1,0.5,1.72,4,BAJAR
2,1.0,1.51,4,SUBIR
3,1.0,1.38,-3,MANTENER
1,1.0,1.24,3,SUBIR
4,1.0,1.15,2,MANTENER
4,0.8,1.95,5,MANTENER
1,0.5,1.51,5,BAJAR
5,0.83,1.53,1,MANTENER
3,1.0,0.87,-2,MANTENER
1,1.0,1.05,2,SUBIR
2,1.0,1.36,-2,MANTENER
5,1.0,0.84,-2,MANTENER
4,1.0,0.98,2,MANTENER
2,0.0,2.05,3,BAJAR
2,1.0,1.2,1,MANTENER
3,1.0,2.11,1,MANTENER
3,0.75,1.9,0,MANTENER
3,1.0,1.24,1,MANTENER
1,1.0,1.03,-2,MANTENER
5,0.83,2.2,-2,BAJAR
3,0.75,2.21,2,MANTENER
1,1.0,1.05,0,MANTENER
4,1.0,1.36,3,MANTENER
2,1.0,1.33,3,SUBIR
2,1.0,0.82,5,SUBIR
3,1.0,1.02,1,MANTENER
4,1.0,2.46,-1,MANTENER
4,1.0,1.51,-1,MANTENER
2,1.0,0.8,3,SUBIR
5,0.83,2.31,1,MANTENER
2,1.0,0.91,-1,MANTENER
1,1.0,1.04,-3,MANTENER
4,1.0,0.84,-3,MANTENER
1,0.5,2.43,-1,BAJAR
1,1.0,0.96,5,SUBIR
5,0.83,3.1,4,MANTENER
4,1.0,1.57,-2,MANTENER
2,0.67,1.69,-3,BAJAR
4,0.8,3.3,2,MANTENER
2,0.33,2.79,0,BAJAR
1,1.0,1.16,0,MANTENER
